,Fight,OUTCOME
3370,Dennis Bermudez  vs. Darren Elkins ,L/W
3371,Patrick Cummins  vs. Gian Villante ,W/L
3372,Jimmie Rivera  vs. Thomas Almeida ,W/L
3373,Lyman Good  vs. Elizeu Zaleski dos Santos ,L/W
3374,Rafael Natal  vs. Eryk Anders ,L/W
3375,Ryan LaFlare  vs. Alex Oliveira ,L/W
3376,Damian Grabowski  vs. Chase Sherman ,L/W
3377,Kyle Bochniak  vs. Jeremy Kennedy ,L/W
3378,Brian Kelleher  vs. Marlon Vera ,L/W
3379,Timothy Johnson  vs. Junior Albini ,L/W
3380,Shane Burgos  vs. Godofredo Pepey ,W/L
3381,Frankie Perez  vs. Chris Wade ,L/W
3382,Gunnar Nelson  vs. Santiago Ponzinibbio ,L/W
3383,Joanne Wood  vs. Cynthia Calvillo ,L/W
3384,Stevie Ray  vs. Paul Felder ,L/W
3385,Jack Marshman  vs. Ryan Janes ,W/L
3386,Khalil Rountree Jr.  vs. Paul Craig ,W/L
3387,James Mulheron  vs. Justin Willis ,L/W
3388,Danny Roberts  vs. Bobby Nash ,W/L
3389,Alexandre Pantoja  vs. Neil Seery ,W/L
3390,Charlie Ward  vs. Galore Bofando ,L/W
3391,Danny Henry  vs. Daniel Teymur ,W/L
3392,Brett Johns  vs. Albert Morales ,W/L
3393,Leslie Smith  vs. Amanda Lemos ,W/L
3394,Yoel Romero  vs. Robert Whittaker ,L/W
3395,Fabricio Werdum  vs. Alistair Overeem ,L/W
3396,Daniel Omielanczuk  vs. Curtis Blaydes ,L/W
3397,Anthony Pettis  vs. Jim Miller ,W/L
3398,Rob Font  vs. Douglas Silva de Andrade ,W/L
3399,Travis Browne  vs. Aleksei Oleinik ,L/W
3400,Chad Laprise  vs. Brian Camozzi ,W/L
3401,Thiago Santos  vs. Gerald Meerschaert ,W/L
3402,Jordan Mein  vs. Belal Muhammad ,L/W
3403,Cody Stamann  vs. Terrion Ware ,W/L
3404,Trevin Giles  vs. James Bochnovic ,W/L
3405,Michael Johnson  vs. Justin Gaethje ,L/W
3406,Dhiego Lima  vs. Jesse Taylor ,L/W
3407,Marc Diakiese  vs. Drakkar Klose ,L/W
3408,Jared Cannonier  vs. Nick Roehrick ,W/L
3409,Brad Tavares  vs. Elias Theodorou ,W/L
3410,Jordan Johnson  vs. Marcel Fortuna ,W/L
3411,Angela Hill  vs. Ashley Yoder ,W/L
3412,James Krause  vs. Tom Gallicchio ,W/L
3413,Ed Herman  vs. CB Dollaway ,L/W
3414,Tecia Torres  vs. Juliana Lima ,W/L
3415,Gray Maynard  vs. Teruto Ishihara ,W/L
3416,Michael Chiesa  vs. Kevin Lee ,L/W
3417,Tim Boetsch  vs. Johny Hendricks ,W/L
3418,Felice Herrig  vs. Justine Kish ,W/L
3419,Joachim Christensen  vs. Dominick Reyes ,L/W
3420,Tim Means  vs. Alex Garcia ,W/L
3421,BJ Penn  vs. Dennis Siver ,L/W
3422,Clay Guida  vs. Erik Koch ,W/L
3423,Vitor Miranda  vs. Marvin Vettori ,L/W
3424,Carla Esparza  vs. Maryna Moroz ,W/L
3425,Devin Powell  vs. Darrell Horcher ,L/W
3426,Jared Gordon  vs. Michel Quinones ,W/L
3427,Anthony Rocco Martin  vs. Johnny Case ,W/L
3428,Josh Stansbury  vs. Jeremy Kimball ,L/W
3429,Holly Holm  vs. Bethe Correia ,W/L
3430,Andrei Arlovski  vs. Marcin Tybura ,L/W
3431,Dong Hyun Kim  vs. Colby Covington ,L/W
3432,Tarec Saffiedine  vs. Rafael Dos Anjos ,L/W
3433,Takanori Gomi  vs. Jon Tuck ,L/W
3434,Cyril Asker  vs. Walt Harris ,L/W
3435,Alex Caceres  vs. Rolando Dy ,W/L
3436,Justin Scoggins  vs. Yuta Sasaki ,L/W
3437,Li Jingliang  vs. Frank Camacho ,W/L
3438,Kwan Ho Kwak  vs. Russell Doane ,L/W
3439,Naoki Inoue  vs. Carls John De Tomas ,W/L
3440,Ji Yeon Kim  vs. Lucie Pudilova ,L/W
3441,Derrick Lewis  vs. Mark Hunt ,L/W
3442,Derek Brunson  vs. Daniel Kelly ,W/L
3443,Dan Hooker  vs. Ross Pearson ,W/L
3444,Ion Cutelaba  vs. Henrique da Silva ,W/L
3445,Tim Elliott  vs. Ben Nguyen ,L/W
3446,Alexander Volkanovski  vs. Mizuto Hirota ,W/L
3447,Damien Brown  vs. Vinc Pichel ,L/W
3448,Luke Jumeau  vs. Dominique Steele ,W/L
3449,John Moraga  vs. Ashkan Mokhtarian ,W/L
3450,Kiichi Kunimoto  vs. Zak Ottow ,L/W
3451,JJ Aldrich  vs. Chan-Mi Jeon ,W/L
3452,Jose Aldo  vs. Max Holloway ,L/W
3453,Claudia Gadelha  vs. Karolina Kowalkiewicz ,W/L
3454,Vitor Belfort  vs. Nate Marquardt ,W/L
3455,Paulo Costa  vs. Oluwale Bamgbose ,W/L
3456,Erick Silva  vs. Yancy Medeiros ,L/W
3457,Raphael Assuncao  vs. Marlon Moraes ,W/L
3458,Antonio Carlos Junior  vs. Eric Spicely ,W/L
3459,Johnny Eduardo  vs. Matthew Lopez ,L/W
3460,Iuri Alcantara  vs. Brian Kelleher ,L/W
3461,Viviane Pereira  vs. Jamie Moyle ,W/L
3462,Luan Chagas  vs. Jim Wallhead ,W/L
3463,Marco Beltran  vs. Deiveson Figueiredo ,L/W
3464,Alexander Gustafsson  vs. Glover Teixeira ,W/L
3465,Volkan Oezdemir  vs. Misha Cirkunov ,W/L
3466,Peter Sobotta  vs. Ben Saunders ,W/L
3467,Abdul Razak Alhassan  vs. Omari Akhmedov ,L/W
3468,Oliver Enkamp  vs. Nordine Taleb ,L/W
3469,Jack Hermansson  vs. Alex Nicholson ,W/L
3470,Pedro Munhoz  vs. Damian Stasiak ,W/L
3471,Trevor Smith  vs. Chris Camozzi ,W/L
3472,Reza Madadi  vs. Joaquim Silva ,L/W
3473,Nicholas Musoke  vs. Bojan Velickovic ,L/W
3474,Darren Till  vs. Jessin Ayari ,W/L
3475,Marcin Held  vs. Damir Hadzovic ,L/W
3476,Stipe Miocic  vs. Junior Dos Santos ,W/L
3477,Joanna Jedrzejczyk  vs. Jessica Andrade ,W/L
3478,Demian Maia  vs. Jorge Masvidal ,W/L
3479,Frankie Edgar  vs. Yair Rodriguez ,W/L
3480,Krzysztof Jotko  vs. David Branch ,L/W
3481,Eddie Alvarez  vs. Dustin Poirier ,NC/NC
3482,Chas Skelly  vs. Jason Knight ,L/W
3483,Chase Sherman  vs. Rashad Coulter ,W/L
3484,James Vick  vs. Marco Polo Reyes ,W/L
3485,Jessica Aguilar  vs. Cortney Casey ,L/W
3486,Gabriel Benitez  vs. Enrique Barzola ,L/W
3487,Joachim Christensen  vs. Gadzhimurad Antigulov ,L/W
3488,Cub Swanson  vs. Artem Lobov ,W/L
3489,Al Iaquinta  vs. Diego Sanchez ,W/L
3490,Ovince Saint Preux  vs. Marcos Rogerio de Lima ,W/L
3491,John Dodson  vs. Eddie Wineland ,W/L
3492,Joe Lauzon  vs. Stevie Ray ,L/W
3493,Jake Ellenberger  vs. Mike Perry ,L/W
3494,Thales Leites  vs. Sam Alvey ,W/L
3495,Dustin Ortiz  vs. Brandon Moreno ,L/W
3496,Scott Holtzman  vs. Michael McBride ,W/L
3497,Jessica Penne  vs. Danielle Taylor ,L/W
3498,Alexis Davis  vs. Cindy Dandois ,W/L
3499,Bryan Barberena  vs. Joe Proctor ,W/L
3500,Hector Sandoval  vs. Matt Schnell ,W/L
3501,Demetrious Johnson  vs. Wilson Reis ,W/L
3502,Rose Namajunas  vs. Michelle Waterson ,W/L
3503,Jacare Souza  vs. Robert Whittaker ,L/W
3504,Jeremy Stephens  vs. Renato Moicano ,L/W
3505,Alexander Volkov  vs. Roy Nelson ,W/L
3506,Patrick Williams  vs. Tom Duquesnoy ,L/W
3507,Bobby Green  vs. Rashid Magomedov ,L/W
3508,Louis Smolka  vs. Tim Elliott ,L/W
3509,Aljamain Sterling  vs. Augusto Mendes ,W/L
3510,Devin Clark  vs. Jake Collier ,W/L
3511,Anthony Smith  vs. Andrew Sanchez ,W/L
3512,Zak Cummings  vs. Nathan Coy ,W/L
3513,Ashlee Evans-Smith  vs. Ketlen Vieira ,L/W
3514,Daniel Cormier  vs. Anthony Johnson ,W/L
3515,Chris Weidman  vs. Gegard Mousasi ,L/W
3516,Cynthia Calvillo  vs. Pearl Gonzalez ,W/L
3517,Thiago Alves  vs. Patrick Cote ,W/L
3518,Will Brooks  vs. Charles Oliveira ,L/W
3519,Myles Jury  vs. Mike de la Torre ,W/L
3520,Kamaru Usman  vs. Sean Strickland ,W/L
3521,Shane Burgos  vs. Charles Rosa ,W/L
3522,Patrick Cummins  vs. Jan Blachowicz ,W/L
3523,Gregor Gillespie  vs. Andrew Holbrook ,W/L
3524,Josh Emmett  vs. Desmond Green ,L/W
3525,Katlyn Chookagian  vs. Irene Aldana ,W/L
3526,Jenel Lausa  vs. Bibulatov Magomed ,L/W
3527,Jimi Manuwa  vs. Corey Anderson ,W/L
3528,Gunnar Nelson  vs. Alan Jouban ,W/L
3529,Brad Pickett  vs. Marlon Vera ,L/W
3530,Arnold Allen  vs. Makwan Amirkhani ,W/L
3531,Joe Duffy  vs. Reza Madadi ,W/L
3532,Darren Stewart  vs. Francimar Barroso ,L/W
3533,Daniel Omielanczuk  vs. Timothy Johnson ,L/W
3534,Leon Edwards  vs. Vicente Luque ,W/L
3535,Marc Diakiese  vs. Teemu Packalen ,W/L
3536,Brad Scott  vs. Scott Askham ,W/L
3537,Lina Lansberg  vs. Lucie Pudilova ,W/L
3538,Vitor Belfort  vs. Kelvin Gastelum ,NC/NC
3539,Mauricio Rua  vs. Gian Villante ,W/L
3540,Edson Barboza  vs. Beneil Dariush ,W/L
3541,Jussier Formiga  vs. Ray Borg ,L/W
3542,Bethe Correia  vs. Marion Reneau ,D/D
3543,Alex Oliveira  vs. Tim Means ,W/L
3544,Francisco Trinaldo  vs. Kevin Lee ,L/W
3545,Sergio Moraes  vs. Davi Ramos ,W/L
3546,Rani Yahya  vs. Joe Soto ,L/W
3547,Michel Prazeres  vs. Joshua Burkman ,W/L
3548,Rony Jason  vs. Jeremy Kennedy ,L/W
3549,Garreth McLellan  vs. Paulo Costa ,L/W
3550,Tyron Woodley  vs. Stephen Thompson ,W/L
3551,Lando Vannata  vs. David Teymur ,L/W
3552,Rashad Evans  vs. Daniel Kelly ,L/W
3553,Amanda Cooper  vs. Cynthia Calvillo ,L/W
3554,Alistair Overeem  vs. Mark Hunt ,W/L
3555,Marcin Tybura  vs. Luis Henrique ,W/L
3556,Mirsad Bektic  vs. Darren Elkins ,L/W
3557,Iuri Alcantara  vs. Luke Sanders ,W/L
3558,Mark Godbeer  vs. Daniel Spitz ,W/L
3559,Tyson Pedro  vs. Paul Craig ,W/L
3560,Albert Morales  vs. Andre Soukhamthath ,W/L
3561,Derrick Lewis  vs. Travis Browne ,W/L
3562,Johny Hendricks  vs. Hector Lombard ,W/L
3563,Sam Sicilia  vs. Gavin Tucker ,L/W
3564,Elias Theodorou  vs. Cezar Ferreira ,W/L
3565,Sara McMann  vs. Gina Mazany ,W/L
3566,Paul Felder  vs. Alex Ricci ,W/L
3567,Nordine Taleb  vs. Santiago Ponzinibbio ,L/W
3568,Carla Esparza  vs. Randa Markos ,L/W
3569,Aiemann Zahabi  vs. Reginaldo Vieira ,W/L
3570,Jack Marshman  vs. Thiago Santos ,L/W
3571,Gerald Meerschaert  vs. Ryan Janes ,W/L
3572,Holly Holm  vs. Germaine de Randamie ,L/W
3573,Anderson Silva  vs. Derek Brunson ,W/L
3574,Jacare Souza  vs. Tim Boetsch ,W/L
3575,Glover Teixeira  vs. Jared Cannonier ,W/L
3576,Dustin Poirier  vs. Jim Miller ,W/L
3577,Randy Brown  vs. Belal Muhammad ,L/W
3578,Wilson Reis  vs. Yuta Sasaki ,W/L
3579,Nik Lentz  vs. Islam Makhachev ,L/W
3580,Ricky Glenn  vs. Phillipe Nover ,W/L
3581,Ryan LaFlare  vs. Roan Carneiro ,W/L
3582,Dennis Bermudez  vs. Chan Sung Jung ,L/W
3583,Alexa Grasso  vs. Felice Herrig ,L/W
3584,Abel Trujillo  vs. James Vick ,L/W
3585,Ovince Saint Preux  vs. Volkan Oezdemir ,L/W
3586,Anthony Hamilton  vs. Marcel Fortuna ,L/W
3587,Jessica Andrade  vs. Angela Hill ,W/L
3588,Adam Milstead  vs. Curtis Blaydes ,NC/NC
3589,Chas Skelly  vs. Chris Gruetzemacher ,W/L
3590,Ricardo Ramos  vs. Michinori Tanaka ,W/L
3591,Tecia Torres  vs. Bec Rawlings ,W/L
3592,Alex Morono  vs. Niko Price ,NC/NC
3593,Daniel Jolly  vs. Khalil Rountree Jr. ,L/W
3594,Valentina Shevchenko  vs. Julianna Pena ,W/L
3595,Donald Cerrone  vs. Jorge Masvidal ,L/W
3596,Andrei Arlovski  vs. Francis Ngannou ,L/W
3597,Alex Caceres  vs. Jason Knight ,L/W
3598,Nate Marquardt  vs. Sam Alvey ,L/W
3599,Raphael Assuncao  vs. Aljamain Sterling ,W/L
3600,Bobby Nash  vs. Li Jingliang ,L/W
3601,Henrique da Silva  vs. Jordan Johnson ,L/W
3602,Eric Spicely  vs. Alessio Di Chirico ,W/L
3603,Marcos Rogerio de Lima  vs. Jeremy Kimball ,W/L
3604,Alexandre Pantoja  vs. Eric Shelton ,W/L
3605,Jason Gonzalez  vs. JC Cottrell ,W/L
3606,Yair Rodriguez  vs. BJ Penn ,W/L
3607,Joe Lauzon  vs. Marcin Held ,W/L
3608,Court McGee  vs. Ben Saunders ,L/W
3609,John Moraga  vs. Sergio Pettis ,L/W
3610,Devin Powell  vs. Drakkar Klose ,L/W
3611,Frankie Saenz  vs. Augusto Mendes ,L/W
3612,Aleksei Oleinik  vs. Viktor Pesta ,W/L
3613,Anthony Rocco Martin  vs. Alex White ,W/L
3614,Jocelyn Jones-Lybarger  vs. Nina Nunes ,L/W
3615,Walt Harris  vs. Chase Sherman ,W/L
3616,Bojan Mihajlovic  vs. Joachim Christensen ,L/W
3617,Dmitrii Smoliakov  vs. Cyril Asker ,L/W
3618,Amanda Nunes  vs. Ronda Rousey ,W/L
3619,Dominick Cruz  vs. Cody Garbrandt ,L/W
3620,TJ Dillashaw  vs. John Lineker ,W/L
3621,Dong Hyun Kim  vs. Tarec Saffiedine ,W/L
3622,Louis Smolka  vs. Ray Borg ,L/W
3623,Johny Hendricks  vs. Neil Magny ,L/W
3624,Antonio Carlos Junior  vs. Marvin Vettori ,W/L
3625,Mike Pyle  vs. Alex Garcia ,L/W
3626,Brandon Thatch  vs. Niko Price ,L/W
3627,Alex Oliveira  vs. Tim Means ,NC/NC
3628,Paige VanZant  vs. Michelle Waterson ,L/W
3629,Sage Northcutt  vs. Mickey Gall ,L/W
3630,Urijah Faber  vs. Brad Pickett ,W/L
3631,Alan Jouban  vs. Mike Perry ,W/L
3632,Henrique da Silva  vs. Paul Craig ,L/W
3633,Cole Miller  vs. Mizuto Hirota ,L/W
3634,Bryan Barberena  vs. Colby Covington ,L/W
3635,James Moontasri  vs. Alex Morono ,L/W
3636,Josh Emmett  vs. Scott Holtzman ,W/L
3637,Leslie Smith  vs. Irene Aldana ,W/L
3638,Eddie Wineland  vs. Takeya Mizugaki ,W/L
3639,Hector Sandoval  vs. Fredy Serrano ,W/L
3640,Bojan Velickovic  vs. Sultan Aliev ,L/W
3641,Max Holloway  vs. Anthony Pettis ,W/L
3642,Donald Cerrone  vs. Matt Brown ,W/L
3643,Cub Swanson  vs. Dooho Choi ,W/L
3644,Tim Kennedy  vs. Kelvin Gastelum ,L/W
3645,Jordan Mein  vs. Emil Meek ,L/W
3646,Nikita Krylov  vs. Misha Cirkunov ,L/W
3647,Olivier Aubin-Mercier  vs. Drew Dober ,W/L
3648,Valerie Letourneau  vs. Viviane Pereira ,L/W
3649,Mitch Gagnon  vs. Matthew Lopez ,L/W
3650,John Makdessi  vs. Lando Vannata ,L/W
3651,Jason Saggo  vs. Rustam Khabilov ,L/W
3652,Zach Makovsky  vs. Dustin Ortiz ,L/W
3653,Derrick Lewis  vs. Shamil Abdurakhimov ,W/L
3654,Francis Ngannou  vs. Anthony Hamilton ,W/L
3655,Corey Anderson  vs. Sean O'Connell ,W/L
3656,Gian Villante  vs. Saparbeg Safarov ,W/L
3657,Justine Kish  vs. Ashley Yoder ,W/L
3658,Randy Brown  vs. Brian Camozzi ,W/L
3659,Joseph Gigliotti  vs. Gerald Meerschaert ,L/W
3660,Andrew Sanchez  vs. Trevor Smith ,W/L
3661,Tiago dos Santos e Silva  vs. Shane Burgos ,L/W
3662,Frankie Perez  vs. Marc Diakiese ,L/W
3663,Keith Berish  vs. Ryan Janes ,L/W
3664,Juliana Lima  vs. JJ Aldrich ,W/L
3665,Demetrious Johnson  vs. Tim Elliott ,W/L
3666,Joseph Benavidez  vs. Henry Cejudo ,W/L
3667,Jake Ellenberger  vs. Jorge Masvidal ,L/W
3668,Ion Cutelaba  vs. Jared Cannonier ,L/W
3669,Sara McMann  vs. Alexis Davis ,W/L
3670,Brandon Moreno  vs. Ryan Benoit ,W/L
3671,Gray Maynard  vs. Ryan Hall ,L/W
3672,Rob Font  vs. Matt Schnell ,W/L
3673,Dong Hyun Ma  vs. Brendan O'Reilly ,W/L
3674,Kailin Curran  vs. Jamie Moyle ,L/W
3675,Elvis Mutapcic  vs. Anthony Smith ,L/W
3676,Josh Stansbury  vs. Devin Clark ,L/W
3677,Robert Whittaker  vs. Derek Brunson ,W/L
3678,Jake Matthews  vs. Andrew Holbrook ,L/W
3679,Kyle Noke  vs. Omari Akhmedov ,L/W
3680,Yusuke Kasuya  vs. Alexander Volkanovski ,L/W
3681,Khalil Rountree Jr.  vs. Tyson Pedro ,L/W
3682,Seo Hee Ham  vs. Danielle Taylor ,L/W
3683,Daniel Kelly  vs. Chris Camozzi ,W/L
3684,Damien Brown  vs. Jon Tuck ,W/L
3685,Richard Walsh  vs. Jonathan Meunier ,L/W
3686,Ben Nguyen  vs. Geane Herrera ,W/L
3687,Dan Hooker  vs. Jason Knight ,L/W
3688,Marlon Vera  vs. Guangyou Ning ,W/L
3689,Yao Zhikui  vs. Jenel Lausa ,L/W
3690,Ryan Bader  vs. Rogerio Nogueira ,W/L
3691,Thomas Almeida  vs. Albert Morales ,W/L
3692,Claudia Gadelha  vs. Cortney Casey ,W/L
3693,Thales Leites  vs. Krzysztof Jotko ,L/W
3694,Warlley Alves  vs. Kamaru Usman ,L/W
3695,Sergio Moraes  vs. Zak Ottow ,W/L
3696,Cezar Ferreira  vs. Jack Hermansson ,W/L
3697,Marcos Rogerio de Lima  vs. Gadzhimurad Antigulov ,L/W
3698,Johnny Eduardo  vs. Manvel Gamburyan ,W/L
3699,Luis Henrique  vs. Christian Colombo ,W/L
3700,Pedro Munhoz  vs. Justin Scoggins ,W/L
3701,Francimar Barroso  vs. Darren Stewart ,NC/NC
3702,Gegard Mousasi  vs. Uriah Hall ,W/L
3703,Ross Pearson  vs. Stevie Ray ,L/W
3704,Timothy Johnson  vs. Alexander Volkov ,L/W
3705,Artem Lobov  vs. Teruto Ishihara ,W/L
3706,Magnus Cedenblad  vs. Jack Marshman ,L/W
3707,Kyoji Horiguchi  vs. Ali Bagautinov ,W/L
3708,Kevin Lee  vs. Magomed Mustafaev ,W/L
3709,Anna Elmose  vs. Amanda Cooper ,L/W
3710,Justin Ledet  vs. Mark Godbeer ,W/L
3711,Zak Cummings  vs. Alexander Yakovlev ,W/L
3712,Marion Reneau  vs. Milana Dudieva ,W/L
3713,Brett Johns  vs. Kwan Ho Kwak ,W/L
3714,Charlie Ward  vs. Abdul Razak Alhassan ,L/W
3715,Eddie Alvarez  vs. Conor McGregor ,L/W
3716,Tyron Woodley  vs. Stephen Thompson ,D/D
3717,Joanna Jedrzejczyk  vs. Karolina Kowalkiewicz ,W/L
3718,Chris Weidman  vs. Yoel Romero ,L/W
3719,Miesha Tate  vs. Raquel Pennington ,L/W
3720,Frankie Edgar  vs. Jeremy Stephens ,W/L
3721,Khabib Nurmagomedov  vs. Michael Johnson ,W/L
3722,Rafael Natal  vs. Tim Boetsch ,L/W
3723,Vicente Luque  vs. Belal Muhammad ,W/L
3724,Jim Miller  vs. Thiago Alves ,W/L
3725,Liz Carmouche  vs. Katlyn Chookagian ,W/L
3726,Rafael Dos Anjos  vs. Tony Ferguson ,L/W
3727,Diego Sanchez  vs. Marcin Held ,W/L
3728,Ricardo Lamas  vs. Charles Oliveira ,W/L
3729,Martin Bravo  vs. Claudio Puelles ,W/L
3730,Beneil Dariush  vs. Rashid Magomedov ,W/L
3731,Alexa Grasso  vs. Heather Clark ,W/L
3732,Erik Perez  vs. Felipe Arantes ,W/L
3733,Marco Beltran  vs. Joe Soto ,L/W
3734,Erick Montano  vs. Max Griffin ,L/W
3735,Henry Briones  vs. Douglas Silva de Andrade ,L/W
3736,Sam Alvey  vs. Alex Nicholson ,W/L
3737,Marco Polo Reyes  vs. Jason Novelli ,W/L
3738,Enrique Barzola  vs. Chris Avila ,W/L
3739,Michael Bisping  vs. Dan Henderson ,W/L
3740,Vitor Belfort  vs. Gegard Mousasi ,L/W
3741,Ovince Saint Preux  vs. Jimi Manuwa ,L/W
3742,Stefan Struve  vs. Daniel Omielanczuk ,W/L
3743,Mirsad Bektic  vs. Russell Doane ,W/L
3744,Brad Pickett  vs. Iuri Alcantara ,L/W
3745,Davey Grant  vs. Damian Stasiak ,L/W
3746,Leon Edwards  vs. Albert Tumenov ,W/L
3747,Lukasz Sajewski  vs. Marc Diakiese ,L/W
3748,Danny Roberts  vs. Mike Perry ,L/W
3749,Leonardo Santos  vs. Adriano Martins ,W/L
3750,John Lineker  vs. John Dodson ,W/L
3751,Will Brooks  vs. Alex Oliveira ,L/W
3752,Joshua Burkman  vs. Zak Ottow ,L/W
3753,Louis Smolka  vs. Brandon Moreno ,L/W
3754,Henrique da Silva  vs. Joachim Christensen ,W/L
3755,Hacran Dias  vs. Andre Fili ,L/W
3756,Shamil Abdurakhimov  vs. Walt Harris ,W/L
3757,Keita Nakamura  vs. Elizeu Zaleski dos Santos ,L/W
3758,Nate Marquardt  vs. Tamdan McCrory ,W/L
3759,Jonathan Wilson  vs. Ion Cutelaba ,L/W
3760,Cody East  vs. Curtis Blaydes ,L/W
3761,Kelly Faszholz  vs. Ketlen Vieira ,L/W
3762,Cristiane Justino  vs. Lina Lansberg ,W/L
3763,Renan Barao  vs. Phillipe Nover ,W/L
3764,Roy Nelson  vs. Antonio Silva ,W/L
3765,Francisco Trinaldo  vs. Paul Felder ,W/L
3766,Thiago Santos  vs. Eric Spicely ,L/W
3767,Godofredo Pepey  vs. Mike de la Torre ,W/L
3768,Gilbert Burns  vs. Michel Prazeres ,L/W
3769,Rani Yahya  vs. Michinori Tanaka ,W/L
3770,Jussier Formiga  vs. Dustin Ortiz ,W/L
3771,Erick Silva  vs. Luan Chagas ,W/L
3772,Alan Patrick  vs. Stevie Ray ,W/L
3773,Vicente Luque  vs. Hector Urbina ,W/L
3774,Glaico Franca Moreira  vs. Gregor Gillespie ,L/W
3775,Dustin Poirier  vs. Michael Johnson ,L/W
3776,Uriah Hall  vs. Derek Brunson ,L/W
3777,Evan Dunham  vs. Ricky Glenn ,W/L
3778,Roan Carneiro  vs. Kenny Robertson ,W/L
3779,Chris Wade  vs. Islam Makhachev ,L/W
3780,Chas Skelly  vs. Maximo Blanco ,W/L
3781,Gabriel Benitez  vs. Sam Sicilia ,W/L
3782,Augusto Montano  vs. Belal Muhammad ,L/W
3783,Antonio Carlos Junior  vs. Leonardo Guimaraes ,W/L
3784,Jose Quinonez  vs. Joey Gomez ,W/L
3785,Erick Montano  vs. Randy Brown ,L/W
3786,Alejandro Perez  vs. Albert Morales ,D/D
3787,Stipe Miocic  vs. Alistair Overeem ,W/L
3788,Fabricio Werdum  vs. Travis Browne ,W/L
3789,CM Punk  vs. Mickey Gall ,L/W
3790,Urijah Faber  vs. Jimmie Rivera ,L/W
3791,Jessica Andrade  vs. Joanne Wood ,W/L
3792,Jessica Eye  vs. Bethe Correia ,L/W
3793,Brad Tavares  vs. Caio Magalhaes ,W/L
3794,Nik Lentz  vs. Michael McBride ,W/L
3795,Drew Dober  vs. Jason Gonzalez ,W/L
3796,Yancy Medeiros  vs. Sean Spencer ,W/L
3797,Andrei Arlovski  vs. Josh Barnett ,L/W
3798,Alexander Gustafsson  vs. Jan Blachowicz ,W/L
3799,Ryan Bader  vs. Ilir Latifi ,W/L
3800,Nick Hein  vs. Tae Hyun Bang ,W/L
3801,Jessin Ayari  vs. Jim Wallhead ,W/L
3802,Peter Sobotta  vs. Nicolas Dalby ,W/L
3803,Ashlee Evans-Smith  vs. Veronica Macedo ,W/L
3804,Taylor Lapilus  vs. Leandro Issa ,W/L
3805,Jarjis Danho  vs. Christian Colombo ,D/D
3806,Scott Askham  vs. Jack Hermansson ,L/W
3807,Rustam Khabilov  vs. Leandro Silva ,W/L
3808,Demian Maia  vs. Carlos Condit ,W/L
3809,Anthony Pettis  vs. Charles Oliveira ,W/L
3810,Paige VanZant  vs. Bec Rawlings ,W/L
3811,Joe Lauzon  vs. Jim Miller ,L/W
3812,Sam Alvey  vs. Kevin Casey ,W/L
3813,Enrique Barzola  vs. Kyle Bochniak ,L/W
3814,Garreth McLellan  vs. Alessio Di Chirico ,L/W
3815,Shane Campbell  vs. Felipe Silva ,L/W
3816,Chad Laprise  vs. Thibault Gouti ,W/L
3817,Jeremy Kennedy  vs. Alex Ricci ,W/L
3818,Nate Diaz  vs. Conor McGregor ,L/W
3819,Anthony Johnson  vs. Glover Teixeira ,W/L
3820,Rick Story  vs. Donald Cerrone ,L/W
3821,Hyun Gyu Lim  vs. Mike Perry ,L/W
3822,Tim Means  vs. Sabah Homasi ,W/L
3823,Cody Garbrandt  vs. Takeya Mizugaki ,W/L
3824,Raquel Pennington  vs. Elizabeth Phillips ,W/L
3825,Artem Lobov  vs. Chris Avila ,W/L
3826,Randa Markos  vs. Cortney Casey ,L/W
3827,Neil Magny  vs. Lorenz Larkin ,L/W
3828,Colby Covington  vs. Max Griffin ,W/L
3829,Alberto Uda  vs. Marvin Vettori ,L/W
3830,Yair Rodriguez  vs. Alex Caceres ,W/L
3831,Dennis Bermudez  vs. Rony Jason ,W/L
3832,Thales Leites  vs. Chris Camozzi ,W/L
3833,Santiago Ponzinibbio  vs. Zak Cummings ,W/L
3834,Trevor Smith  vs. Joseph Gigliotti ,W/L
3835,Maryna Moroz  vs. Danielle Taylor ,W/L
3836,Court McGee  vs. Dominique Steele ,W/L
3837,Viktor Pesta  vs. Marcin Tybura ,L/W
3838,David Teymur  vs. Jason Novelli ,W/L
3839,Teruto Ishihara  vs. Horacio Gutierrez ,W/L
3840,Cub Swanson  vs. Tatsuya Kawajiri ,W/L
3841,Chase Sherman  vs. Justin Ledet ,L/W
3842,Robbie Lawler  vs. Tyron Woodley ,L/W
3843,Rose Namajunas  vs. Karolina Kowalkiewicz ,L/W
3844,Matt Brown  vs. Jake Ellenberger ,L/W
3845,Francisco Rivera  vs. Erik Perez ,L/W
3846,Ryan Benoit  vs. Fredy Serrano ,W/L
3847,Nikita Krylov  vs. Ed Herman ,W/L
3848,Ross Pearson  vs. Jorge Masvidal ,L/W
3849,Anthony Hamilton  vs. Damian Grabowski ,W/L
3850,Wilson Reis  vs. Hector Sandoval ,W/L
3851,Michael Graves  vs. Bojan Velickovic ,D/D
3852,Cesar Arzamendia  vs. Damien Brown ,L/W
3853,Holly Holm  vs. Valentina Shevchenko ,L/W
3854,Edson Barboza  vs. Gilbert Melendez ,W/L
3855,Francis Ngannou  vs. Bojan Mihajlovic ,W/L
