Fight,OUTCOME
Khamzat Chimaev  vs. Rhys McKee ,W/L
Francisco Trinaldo  vs. Jai Herbert ,W/L
Nicolas Dalby  vs. Jesse Ronson ,NC/NC
Tom Aspinall  vs. Jake Collier ,W/L
Movsar Evloev  vs. Mike Grundy ,W/L
Tanner Boser  vs. Raphael Pessoa ,W/L
Bethe Correia  vs. Pannie Kianzad ,L/W
Ramazan Emeev  vs. Niklas Stolze ,W/L
Nathaniel Wood  vs. John Castaneda ,W/L
Deiveson Figueiredo  vs. Joseph Benavidez ,W/L
Jack Hermansson  vs. Kelvin Gastelum ,W/L
Marc Diakiese  vs. Rafael Fiziev ,L/W
Ariane Lipski  vs. Luana Carolina ,W/L
Alexandre Pantoja  vs. Askar Askarov ,L/W
Roman Dolidze  vs. Khadis Ibragimov ,W/L
Grant Dawson  vs. Nad Narimani ,W/L
Joe Duffy  vs. Joel Alvarez ,L/W
Brett Johns  vs. Montel Jackson ,W/L
Malcolm Gordon  vs. Amir Albazi ,L/W
Davi Ramos  vs. Arman Tsarukyan ,L/W
Carlos Felipe  vs. Serghei Spivac ,L/W
Calvin Kattar  vs. Dan Ige ,W/L
Tim Elliott  vs. Ryan Benoit ,W/L
Jimmie Rivera  vs. Cody Stamann ,W/L
Molly McCann  vs. Taila Santos ,L/W
Abdul Razak Alhassan  vs. Mounir Lazzez ,L/W
John Phillips  vs. Khamzat Chimaev ,L/W
Ricardo Ramos  vs. Lerone Murphy ,L/W
Modestas Bukauskas  vs. Andreas Michailidis ,W/L
Jared Gordon  vs. Chris Fishgold ,W/L
Diana Belbita  vs. Liana Jojua ,L/W
Jack Shore  vs. Aaron Phillips ,W/L
Kamaru Usman  vs. Jorge Masvidal ,W/L
Alexander Volkanovski  vs. Max Holloway ,W/L
Petr Yan  vs. Jose Aldo ,W/L
Jessica Andrade  vs. Rose Namajunas ,L/W
Amanda Ribas  vs. Paige VanZant ,W/L
Volkan Oezdemir  vs. Jiri Prochazka ,L/W
Elizeu Zaleski dos Santos  vs. Muslim Salikhov ,L/W
Makwan Amirkhani  vs. Danny Henry ,W/L
Leonardo Santos  vs. Roman Bogatov ,W/L
Marcin Tybura  vs. Maxim Grishin ,W/L
Raulian Paiva  vs. Zhalgas Zhumagulov ,W/L
Karol Rosa  vs. Vanessa Melo ,W/L
Martin Day  vs. Davey Grant ,L/W
Dustin Poirier  vs. Dan Hooker ,W/L
Mike Perry  vs. Mickey Gall ,W/L
Gian Villante  vs. Maurice Greene ,L/W
Brendan Allen  vs. Kyle Daukaus ,W/L
Takashi Sato  vs. Jason Witt ,W/L
Sean Woodson  vs. Julian Erosa ,L/W
Luis Pena  vs. Khama Worthy ,L/W
Philipe Lins  vs. Tanner Boser ,L/W
Kay Hansen  vs. Jinh Yu Frey ,W/L
Jordan Griffin  vs. Youssef Zalal ,L/W
Curtis Blaydes  vs. Alexander Volkov ,W/L
Josh Emmett  vs. Shane Burgos ,W/L
Raquel Pennington  vs. Marion Reneau ,W/L
Belal Muhammad  vs. Lyman Good ,W/L
Jim Miller  vs. Roosevelt Roberts ,W/L
Clay Guida  vs. Bobby Green ,L/W
Tecia Torres  vs. Brianna Van Buren ,W/L
Marc-Andre Barriault  vs. Oskar Piechota ,NC/NC
Cortney Casey  vs. Gillian Robertson ,L/W
Frank Camacho  vs. Justin Jaynes ,L/W
Roxanne Modafferi  vs. Lauren Murphy ,L/W
Austin Hubbard  vs. Max Rohskopf ,W/L
Jessica Eye  vs. Cynthia Calvillo ,L/W
Karl Roberson  vs. Marvin Vettori ,L/W
Charles Rosa  vs. Kevin Aguilar ,W/L
Andre Fili  vs. Charles Jourdain ,W/L
Jordan Espinosa  vs. Mark De La Rosa ,W/L
Mariya Agapova  vs. Hannah Cifers ,W/L
Merab Dvalishvili  vs. Gustavo Lopez ,W/L
Julia Avila  vs. Gina Mazany ,W/L
Tyson Nam  vs. Zarrukh Adashev ,W/L
Anthony Ivy  vs. Christian Aguilera ,L/W
Amanda Nunes  vs. Felicia Spencer ,W/L
Raphael Assuncao  vs. Cody Garbrandt ,L/W
Aljamain Sterling  vs. Cory Sandhagen ,W/L
Neil Magny  vs. Anthony Rocco Martin ,W/L
Eddie Wineland  vs. Sean O'Malley ,L/W
Alex Caceres  vs. Chase Hooper ,W/L
Ian Heinisch  vs. Gerald Meerschaert ,W/L
Cody Stamann  vs. Brian Kelleher ,W/L
Charles Byrd  vs. Maki Pitolo ,L/W
Jussier Formiga  vs. Alex Perez ,L/W
Alonzo Menifield  vs. Devin Clark ,L/W
Evan Dunham  vs. Herbert Burns ,L/W
Tyron Woodley  vs. Gilbert Burns ,L/W
Blagoy Ivanov  vs. Augusto Sakai ,L/W
Billy Quarantillo  vs. Spike Carlyle ,W/L
Roosevelt Roberts  vs. Brok Weaver ,W/L
Mackenzie Dern  vs. Hannah Cifers ,W/L
Katlyn Chookagian  vs. Antonina Shevchenko ,W/L
Daniel Rodriguez  vs. Gabe Green ,W/L
Jamahal Hill  vs. Klidson Abreu ,NC/NC
Tim Elliott  vs. Brandon Royval ,L/W
Louis Smolka  vs. Casey Kenney ,L/W
Chris Gutierrez  vs. Vince Morales ,W/L
Alistair Overeem  vs. Walt Harris ,W/L
Claudia Gadelha  vs. Angela Hill ,W/L
Dan Ige  vs. Edson Barboza ,W/L
Eryk Anders  vs. Krzysztof Jotko ,L/W
Song Yadong  vs. Marlon Vera ,W/L
Matt Brown  vs. Miguel Baeza ,L/W
Anthony Hernandez  vs. Kevin Holland ,L/W
Giga Chikadze  vs. Irwin Rivera ,W/L
Darren Elkins  vs. Nate Landwehr ,L/W
Cortney Casey  vs. Mara Romero Borella ,W/L
Rodrigo Nascimento  vs. Don'Tale Mayes ,W/L
Anthony Smith  vs. Glover Teixeira ,L/W
Ben Rothwell  vs. Ovince Saint Preux ,W/L
Alexander Hernandez  vs. Drew Dober ,L/W
Ricky Simon  vs. Ray Borg ,W/L
Andrei Arlovski  vs. Philipe Lins ,W/L
Michael Johnson  vs. Thiago Moises ,L/W
Sijara Eubanks  vs. Sarah Moras ,W/L
Gabriel Benitez  vs. Omar Morales ,L/W
Hunter Azure  vs. Brian Kelleher ,L/W
Chase Sherman  vs. Ike Villanueva ,W/L
Tony Ferguson  vs. Justin Gaethje ,L/W
Henry Cejudo  vs. Dominick Cruz ,W/L
Francis Ngannou  vs. Jairzinho Rozenstruik ,W/L
Jeremy Stephens  vs. Calvin Kattar ,L/W
Greg Hardy  vs. Yorgan De Castro ,W/L
Anthony Pettis  vs. Donald Cerrone ,W/L
Aleksei Oleinik  vs. Fabricio Werdum ,W/L
Carla Esparza  vs. Michelle Waterson ,W/L
Vicente Luque  vs. Niko Price ,W/L
Bryce Mitchell  vs. Charles Rosa ,W/L
Ryan Spann  vs. Sam Alvey ,W/L
Kevin Lee  vs. Charles Oliveira ,L/W
Demian Maia  vs. Gilbert Burns ,L/W
Renato Moicano  vs. Damir Hadzovic ,W/L
Johnny Walker  vs. Nikita Krylov ,L/W
Francisco Trinaldo  vs. John Makdessi ,W/L
Jussier Formiga  vs. Brandon Moreno ,L/W
Amanda Ribas  vs. Randa Markos ,W/L
Elizeu Zaleski dos Santos  vs. Aleksei Kunchenko ,W/L
Rani Yahya  vs. Enrique Barzola ,D/D
Mayra Bueno Silva  vs. Maryna Moroz ,L/W
Bruno Silva  vs. David Dvorak ,L/W
Veronica Macedo  vs. Bea Malecki ,L/W
Israel Adesanya  vs. Yoel Romero ,W/L
Zhang Weili  vs. Joanna Jedrzejczyk ,W/L
Beneil Dariush  vs. Drakkar Klose ,W/L
Neil Magny  vs. Li Jingliang ,W/L
Alex Oliveira  vs. Max Griffin ,W/L
Sean O'Malley  vs. Jose Quinonez ,W/L
Mark Madsen  vs. Austin Hubbard ,W/L
Rodolfo Vieira  vs. Saparbeg Safarov ,W/L
Gerald Meerschaert  vs. Deron Winn ,W/L
Giga Chikadze  vs. Jamall Emmers ,W/L
Danaa Batgerel  vs. Guido Cannetti ,W/L
Joseph Benavidez  vs. Deiveson Figueiredo ,L/W
Felicia Spencer  vs. Zarah Fairn ,W/L
Ion Cutelaba  vs. Magomed Ankalaev ,L/W
Megan Anderson  vs. Norma Dumont ,W/L
Grant Dawson  vs. Darrick Minner ,W/L
Gabriel Silva  vs. Kyler Phillips ,L/W
Brendan Allen  vs. Tom Breese ,W/L
Marcin Tybura  vs. Serghei Spivac ,W/L
Luis Pena  vs. Steve Garcia ,W/L
Jordan Griffin  vs. TJ Brown ,W/L
Aalon Cruz  vs. Spike Carlyle ,L/W
Sean Brady  vs. Ismail Naurdiev ,W/L
Paul Felder  vs. Dan Hooker ,L/W
Jimmy Crute  vs. Michal Oleksiejczuk ,W/L
Karolina Kowalkiewicz  vs. Yan Xiaonan ,L/W
Ben Sosoli  vs. Marcos Rogerio de Lima ,L/W
Brad Riddell  vs. Magomed Mustafaev ,W/L
Kevin Aguilar  vs. Zubaira Tukhugov ,L/W
Jalin Turner  vs. Josh Culibao ,W/L
Jake Matthews  vs. Emil Meek ,W/L
Callan Potter  vs. Song Kenan ,L/W
Kai Kara-France  vs. Tyson Nam ,W/L
Loma Lookboonmee  vs. Angela Hill ,L/W
Priscila Cachoeira  vs. Shana Dobson ,W/L
Corey Anderson  vs. Jan Blachowicz ,L/W
Diego Sanchez  vs. Michel Pereira ,W/L
Montana De La Rosa  vs. Mara Romero Borella ,W/L
Brok Weaver  vs. Kazula Vargas ,W/L
Rogerio Bontorin  vs. Ray Borg ,L/W
Lando Vannata  vs. Yancy Medeiros ,W/L
Tim Means  vs. Daniel Rodriguez ,L/W
John Dodson  vs. Nathaniel Wood ,W/L
Jim Miller  vs. Scott Holtzman ,L/W
Devin Clark  vs. Dequan Townsend ,W/L
Casey Kenney  vs. Merab Dvalishvili ,L/W
Macy Chiasson  vs. Shanna Young ,W/L
Mark De La Rosa  vs. Raulian Paiva ,L/W
Jon Jones  vs. Dominick Reyes ,W/L
Valentina Shevchenko  vs. Katlyn Chookagian ,W/L
Juan Adams  vs. Justin Tafa ,L/W
Mirsad Bektic  vs. Dan Ige ,L/W
Derrick Lewis  vs. Ilir Latifi ,W/L
Trevin Giles  vs. James Krause ,W/L
Lauren Murphy  vs. Andrea Lee ,W/L
Alex Morono  vs. Khaos Williams ,L/W
Miles Johns  vs. Mario Bautista ,L/W
Domingo Pilarte  vs. Journey Newson ,NC/NC
Andre Ewell  vs. Jonathan Martinez ,W/L
Austin Lingo  vs. Youssef Zalal ,L/W
Curtis Blaydes  vs. Junior Dos Santos ,W/L
Rafael Dos Anjos  vs. Michael Chiesa ,L/W
Jordan Espinosa  vs. Alex Perez ,L/W
Hannah Cifers  vs. Angela Hill ,L/W
Jamahal Hill  vs. Darko Stosic ,W/L
Bevon Lewis  vs. Dequan Townsend ,W/L
Arnold Allen  vs. Nik Lentz ,W/L
Justine Kish  vs. Lucie Pudilova ,W/L
Montel Jackson  vs. Felipe Colares ,W/L
Sara McMann  vs. Lina Lansberg ,W/L
Brett Johns  vs. Tony Gravely ,W/L
Herbert Burns  vs. Nate Landwehr ,W/L
Conor McGregor  vs. Donald Cerrone ,W/L
Holly Holm  vs. Raquel Pennington ,W/L
Aleksei Oleinik  vs. Maurice Greene ,W/L
Brian Kelleher  vs. Ode Osbourne ,W/L
Anthony Pettis  vs. Diego Ferreira ,L/W
Roxanne Modafferi  vs. Maycee Barber ,W/L
Andre Fili  vs. Sodiq Yusuff ,L/W
Tim Elliott  vs. Askar Askarov ,L/W
Drew Dober  vs. Nasrat Haqparast ,W/L
Aleksa Camur  vs. Justin Ledet ,W/L
Sabina Mazo  vs. JJ Aldrich ,W/L
Frankie Edgar  vs. Chan Sung Jung ,L/W
Volkan Oezdemir  vs. Aleksandar Rakic ,W/L
Dooho Choi  vs. Charles Jourdain ,L/W
Da-Un Jung  vs. Mike Rodriguez ,W/L
Junyong Park  vs. Marc-Andre Barriault ,W/L
Kyung Ho Kang  vs. Pingyuan Liu ,W/L
Ciryl Gane  vs. Tanner Boser ,W/L
SeungWoo Choi  vs. Suman Mokhtarian ,W/L
Dong Hyun Ma  vs. Omar Morales ,L/W
Alexandre Pantoja  vs. Matt Schnell ,W/L
Raoni Barcelos  vs. Said Nurmagomedov ,W/L
Miranda Granger  vs. Amanda Lemos ,L/W
 Alatengheili  vs. Ryan Benoit ,W/L
Kamaru Usman  vs. Colby Covington ,W/L
Max Holloway  vs. Alexander Volkanovski ,L/W
Amanda Nunes  vs. Germaine de Randamie ,W/L
Marlon Moraes  vs. Jose Aldo ,W/L
Petr Yan  vs. Urijah Faber ,W/L
Geoff Neal  vs. Mike Perry ,W/L
Ketlen Vieira  vs. Irene Aldana ,L/W
Ian Heinisch  vs. Omari Akhmedov ,L/W
Matt Brown  vs. Ben Saunders ,W/L
Chase Hooper  vs. Daniel Teymur ,W/L
Brandon Moreno  vs. Kai Kara-France ,W/L
Jessica Eye  vs. Viviane Araujo ,W/L
Punahele Soriano  vs. Oskar Piechota ,W/L
Alistair Overeem  vs. Jairzinho Rozenstruik ,L/W
Marina Rodriguez  vs. Cynthia Calvillo ,D/D
Stefan Struve  vs. Ben Rothwell ,L/W
Aspen Ladd  vs. Yana Kunitskaya ,W/L
Cody Stamann  vs. Song Yadong ,D/D
Rob Font  vs. Ricky Simon ,W/L
Thiago Alves  vs. Tim Means ,L/W
Billy Quarantillo  vs. Jacob Kilburn ,W/L
Bryce Mitchell  vs. Matt Sayles ,W/L
Joe Solecki  vs. Matt Wiman ,W/L
Virna Jandiroba  vs. Mallory Martin ,W/L
Makhmud Muradov  vs. Trevor Smith ,W/L
Jan Blachowicz  vs. Jacare Souza ,W/L
Mauricio Rua  vs. Paul Craig ,D/D
Charles Oliveira  vs. Jared Gordon ,W/L
Antonio Arroyo  vs. Andre Muniz ,L/W
Markus Perez  vs. Wellington Turman ,L/W
Sergio Moraes  vs. James Krause ,L/W
Ricardo Ramos  vs. Eduardo Garagorri ,W/L
Francisco Trinaldo  vs. Bobby Green ,W/L
Warlley Alves  vs. Randy Brown ,L/W
Douglas Silva de Andrade  vs. Renan Barao ,W/L
Ariane Lipski  vs. Isabela de Padua ,W/L
Vanessa Melo  vs. Tracy Cortez ,L/W
Zabit Magomedsharipov  vs. Calvin Kattar ,W/L
Alexander Volkov  vs. Greg Hardy ,W/L
Zelim Imadaev  vs. Danny Roberts ,L/W
Khadis Ibragimov  vs. Ed Herman ,L/W
Ramazan Emeev  vs. Anthony Rocco Martin ,L/W
Shamil Gamzatov  vs. Klidson Abreu ,W/L
Magomed Ankalaev  vs. Dalcha Lungiambula ,W/L
Rustam Khabilov  vs. Sergey Khandozhko ,W/L
Roman Kopylov  vs. Karl Roberson ,L/W
Abubakar Nurmagomedov  vs. David Zawada ,L/W
Alexander Yakovlev  vs. Roosevelt Roberts ,L/W
Jessica-Rose Clark  vs. Pannie Kianzad ,L/W
Grigory Popov  vs. Davey Grant ,L/W
Jorge Masvidal  vs. Nate Diaz ,W/L
Kelvin Gastelum  vs. Darren Till ,L/W
Stephen Thompson  vs. Vicente Luque ,W/L
Derrick Lewis  vs. Blagoy Ivanov ,W/L
Kevin Lee  vs. Gregor Gillespie ,W/L
Corey Anderson  vs. Johnny Walker ,W/L
Shane Burgos  vs. Makwan Amirkhani ,W/L
Brad Tavares  vs. Edmen Shahbazyan ,L/W
Andrei Arlovski  vs. Jairzinho Rozenstruik ,L/W
Katlyn Chookagian  vs. Jennifer Maia ,W/L
Lyman Good  vs. Chance Rencountre ,W/L
Julio Arce  vs. Hakeem Dawodu ,L/W
Demian Maia  vs. Ben Askren ,W/L
Michael Johnson  vs. Stevie Ray ,L/W
Frank Camacho  vs. Beneil Dariush ,L/W
Ciryl Gane  vs. Don'Tale Mayes ,W/L
Muslim Salikhov  vs. Laureano Staropoli ,W/L
Randa Markos  vs. Ashley Yoder ,W/L
Alex White  vs. Rafael Fiziev ,L/W
Enrique Barzola  vs. Movsar Evloev ,L/W
Maurice Greene  vs. Sergei Pavlovich ,L/W
Loma Lookboonmee  vs. Aleksandra Albu ,W/L
Raphael Pessoa  vs. Jeff Hughes ,W/L
Dominick Reyes  vs. Chris Weidman ,W/L
Yair Rodriguez  vs. Jeremy Stephens ,W/L
Greg Hardy  vs. Ben Sosoli ,NC/NC
Joe Lauzon  vs. Jonathan Pearce ,W/L
Maycee Barber  vs. Gillian Robertson ,W/L
Deron Winn  vs. Darren Stewart ,L/W
Charles Rosa  vs. Manny Bermudez ,W/L
Molly McCann  vs. Diana Belbita ,W/L
Kyle Bochniak  vs. Sean Woodson ,L/W
Randy Costa  vs. Boston Salmon ,W/L
Court McGee  vs. Sean Brady ,L/W
Brendan Allen  vs. Kevin Holland ,W/L
Daniel Spitz  vs. Tanner Boser ,L/W
Joanna Jedrzejczyk  vs. Michelle Waterson ,W/L
Cub Swanson  vs. Kron Gracie ,W/L
Niko Price  vs. James Vick ,W/L
Mackenzie Dern  vs. Amanda Ribas ,L/W
Matt Frevola  vs. Luis Pena ,W/L
Eryk Anders  vs. Gerald Meerschaert ,W/L
Ryan Spann  vs. Devin Clark ,W/L
Mike Davis  vs. Thomas Gifford ,W/L
Max Griffin  vs. Alex Morono ,L/W
Deiveson Figueiredo  vs. Tim Elliott ,W/L
Marlon Vera  vs. Andre Ewell ,W/L
Miguel Baeza  vs. Hector Aldana ,W/L
Marvin Vettori  vs. Andrew Sanchez ,W/L
JJ Aldrich  vs. Lauren Mueller ,W/L
Robert Whittaker  vs. Israel Adesanya ,L/W
Al Iaquinta  vs. Dan Hooker ,L/W
Tai Tuivasa  vs. Serghei Spivac ,L/W
Luke Jumeau  vs. Dhiego Lima ,L/W
Justin Tafa  vs. Yorgan De Castro ,L/W
Jake Matthews  vs. Rostem Akman ,W/L
Callan Potter  vs. Maki Pitolo ,W/L
Brad Riddell  vs. Jamie Mullarkey ,W/L
Megan Anderson  vs. Zarah Fairn ,W/L
Nadia Kassem  vs. Ji Yeon Kim ,L/W
Khalid Taha  vs. Bruno Silva ,NC/NC
Jack Hermansson  vs. Jared Cannonier ,L/W
Mark Madsen  vs. Danilo Belluardo ,W/L
Gunnar Nelson  vs. Gilbert Burns ,L/W
Ion Cutelaba  vs. Khalil Rountree Jr. ,W/L
Michal Oleksiejczuk  vs. Ovince Saint Preux ,L/W
Nicolas Dalby  vs. Alex Oliveira ,W/L
Alen Amedovski  vs. John Phillips ,L/W
Alessio Di Chirico  vs. Makhmud Muradov ,L/W
Siyar Bahadurzada  vs. Ismail Naurdiev ,L/W
Brandon Davis  vs. Giga Chikadze ,L/W
Macy Chiasson  vs. Lina Lansberg ,L/W
Marc Diakiese  vs. Lando Vannata ,W/L
Jack Shore  vs. Nohelin Hernandez ,W/L
Yair Rodriguez  vs. Jeremy Stephens ,NC/NC
Carla Esparza  vs. Alexa Grasso ,W/L
Brandon Moreno  vs. Askar Askarov ,D/D
Irene Aldana  vs. Vanessa Melo ,W/L
Martin Bravo  vs. Steven Peterson ,L/W
Jose Quinonez  vs. Carlos Huachin ,W/L
Marco Polo Reyes  vs. Kyle Nelson ,L/W
Ariane Carnelossi  vs. Angela Hill ,L/W
Sergio Pettis  vs. Tyson Nam ,W/L
Vinicius Moreira  vs. Paul Craig ,L/W
Sijara Eubanks  vs. Bethe Correia ,L/W
Claudio Puelles  vs. Marcos Mariano ,W/L
Donald Cerrone  vs. Justin Gaethje ,L/W
Glover Teixeira  vs. Nikita Krylov ,W/L
Todd Duffee  vs. Jeff Hughes ,NC/NC
Michel Pereira  vs. Tristan Connelly ,L/W
Uriah Hall  vs. Antonio Carlos Junior ,W/L
Misha Cirkunov  vs. Jimmy Crute ,W/L
Marcin Tybura  vs. Augusto Sakai ,L/W
Cole Smith  vs. Miles Johns ,L/W
Brad Katona  vs. Hunter Azure ,L/W
Chas Skelly  vs. Jordan Griffin ,W/L
Louis Smolka  vs. Ryan MacDonald ,W/L
Kyle Prepolec  vs. Austin Hubbard ,L/W
Khabib Nurmagomedov  vs. Dustin Poirier ,W/L
Edson Barboza  vs. Paul Felder ,L/W
Islam Makhachev  vs. Davi Ramos ,W/L
Curtis Blaydes  vs. Shamil Abdurakhimov ,W/L
Mairbek Taisumov  vs. Diego Ferreira ,L/W
Joanne Wood  vs. Andrea Lee ,W/L
Zubaira Tukhugov  vs. Lerone Murphy ,D/D
Liana Jojua  vs. Sarah Moras ,L/W
Ottman Azaitar  vs. Teemu Packalen ,W/L
Belal Muhammad  vs. Takashi Sato ,W/L
Nordine Taleb  vs. Muslim Salikhov ,L/W
Omari Akhmedov  vs. Zak Cummings ,W/L
Don Madge  vs. Fares Ziam ,W/L
Jessica Andrade  vs. Zhang Weili ,L/W
Li Jingliang  vs. Elizeu Zaleski dos Santos ,W/L
Kai Kara-France  vs. Mark De La Rosa ,W/L
Song Kenan  vs. Derrick Krantz ,W/L
Wu Yanan  vs. Inoue Mizuki ,L/W
Junyong Park  vs. Anthony Hernandez ,L/W
 Sumudaerji  vs. Andre Soukhamthath ,W/L
Da-Un Jung  vs. Khadis Ibragimov ,W/L
Damir Ismagulov  vs. Thiago Moises ,W/L
 Alatengheili  vs. Danaa Batgerel ,W/L
Karol Rosa  vs. Lara Procopio ,W/L
Daniel Cormier  vs. Stipe Miocic ,L/W
Anthony Pettis  vs. Nate Diaz ,L/W
Yoel Romero  vs. Paulo Costa ,L/W
Gabriel Benitez  vs. Sodiq Yusuff ,L/W
Derek Brunson  vs. Ian Heinisch ,W/L
Devonte Smith  vs. Khama Worthy ,L/W
Raphael Assuncao  vs. Cory Sandhagen ,L/W
Christos Giagos  vs. Drakkar Klose ,L/W
Manny Bermudez  vs. Casey Kenney ,L/W
Hannah Cifers  vs. Jodie Esquibel ,W/L
Kyung Ho Kang  vs. Brandon Davis ,W/L
Sabina Mazo  vs. Shana Dobson ,W/L
Valentina Shevchenko  vs. Liz Carmouche ,W/L
Vicente Luque  vs. Mike Perry ,W/L
Eduardo Garagorri  vs. Humberto Bandenay ,W/L
Volkan Oezdemir  vs. Ilir Latifi ,W/L
Rodolfo Vieira  vs. Oskar Piechota ,W/L
Enrique Barzola  vs. Bobby Moffett ,W/L
Gilbert Burns  vs. Aleksei Kunchenko ,W/L
Ciryl Gane  vs. Raphael Pessoa ,W/L
Tecia Torres  vs. Marina Rodriguez ,L/W
Rogerio Bontorin  vs. Raulian Paiva ,W/L
Geraldo de Freitas  vs. Chris Gutierrez ,L/W
Kazula Vargas  vs. Alex Da Silva ,L/W
Veronica Macedo  vs. Polyana Viana ,W/L
Colby Covington  vs. Robbie Lawler ,W/L
Jim Miller  vs. Clay Guida ,W/L
Joaquim Silva  vs. Nasrat Haqparast ,L/W
Trevin Giles  vs. Gerald Meerschaert ,L/W
Scott Holtzman  vs. Dong Hyun Ma ,W/L
Darko Stosic  vs. Kennedy Nzechukwu ,L/W
Mickey Gall  vs. Salim Touahri ,W/L
Antonina Shevchenko  vs. Lucie Pudilova ,W/L
Jordan Espinosa  vs. Matt Schnell ,L/W
Lauren Murphy  vs. Mara Romero Borella ,W/L
Claudio Silva  vs. Cole Williams ,W/L
Miranda Granger  vs. Hannah Goldy ,W/L
Max Holloway  vs. Frankie Edgar ,W/L
Cristiane Justino  vs. Felicia Spencer ,W/L
Geoff Neal  vs. Niko Price ,W/L
Olivier Aubin-Mercier  vs. Arman Tsarukyan ,L/W
Marc-Andre Barriault  vs. Krzysztof Jotko ,L/W
Alexis Davis  vs. Viviane Araujo ,L/W
Hakeem Dawodu  vs. Yoshinori Horie ,W/L
Gavin Tucker  vs. SeungWoo Choi ,W/L
Alexandre Pantoja  vs. Deiveson Figueiredo ,L/W
Gillian Robertson  vs. Sarah Frota ,W/L
Erik Koch  vs. Kyle Stewart ,W/L
Rafael Dos Anjos  vs. Leon Edwards ,L/W
Aleksei Oleinik  vs. Walt Harris ,L/W
Greg Hardy  vs. Juan Adams ,W/L
James Vick  vs. Dan Hooker ,L/W
Alexander Hernandez  vs. Francisco Trinaldo ,W/L
Andrei Arlovski  vs. Ben Rothwell ,W/L
Alex Caceres  vs. Steven Peterson ,W/L
Raquel Pennington  vs. Irene Aldana ,W/L
Sam Alvey  vs. Klidson Abreu ,L/W
Roxanne Modafferi  vs. Jennifer Maia ,L/W
Ray Borg  vs. Gabriel Silva ,W/L
Mario Bautista  vs. Jin Soo Son ,W/L
Domingo Pilarte  vs. Felipe Colares ,L/W
Germaine de Randamie  vs. Aspen Ladd ,W/L
Urijah Faber  vs. Ricky Simon ,W/L
Josh Emmett  vs. Mirsad Bektic ,W/L
Karl Roberson  vs. Wellington Turman ,W/L
Marvin Vettori  vs. Cezar Ferreira ,W/L
Mike Rodriguez  vs. John Allan ,NC/NC
Andre Fili  vs. Sheymon Moraes ,W/L
Julianna Pena  vs. Nicco Montano ,W/L
Darren Elkins  vs. Ryan Hall ,L/W
Pingyuan Liu  vs. Jonathan Martinez ,L/W
Livinha Souza  vs. Brianna Van Buren ,L/W
Benito Lopez  vs. Vince Morales ,W/L
Jon Jones  vs. Thiago Santos ,W/L
Amanda Nunes  vs. Holly Holm ,W/L
Jorge Masvidal  vs. Ben Askren ,W/L
Jan Blachowicz  vs. Luke Rockhold ,W/L
Diego Sanchez  vs. Michael Chiesa ,L/W
Gilbert Melendez  vs. Arnold Allen ,L/W
Marlon Vera  vs. Nohelin Hernandez ,W/L
Claudia Gadelha  vs. Randa Markos ,W/L
Alejandro Perez  vs. Song Yadong ,L/W
Edmen Shahbazyan  vs. Jack Marshman ,W/L
Ismail Naurdiev  vs. Chance Rencountre ,L/W
Julia Avila  vs. Pannie Kianzad ,W/L
Francis Ngannou  vs. Junior Dos Santos ,W/L
Jussier Formiga  vs. Joseph Benavidez ,L/W
Demian Maia  vs. Anthony Rocco Martin ,W/L
Roosevelt Roberts  vs. Vinc Pichel ,L/W
Drew Dober  vs. Marco Polo Reyes ,W/L
Alonzo Menifield  vs. Paul Craig ,W/L
Ricardo Ramos  vs. Journey Newson ,W/L
Eryk Anders  vs. Vinicius Moreira ,W/L
Jared Gordon  vs. Dan Moret ,W/L
Dalcha Lungiambula  vs. Dequan Townsend ,W/L
Emily Whitmire  vs. Amanda Ribas ,L/W
Maurice Greene  vs. Junior Albini ,W/L
Renato Moicano  vs. Chan Sung Jung ,L/W
Bryan Barberena  vs. Randy Brown ,L/W
Andre Ewell  vs. Anderson Dos Santos ,W/L
Andrea Lee  vs. Montana De La Rosa ,W/L
Kevin Holland  vs. Alessio Di Chirico ,W/L
Dan Ige  vs. Kevin Aguilar ,W/L
Ashley Yoder  vs. Syuri Kondo ,W/L
Matt Wiman  vs. Luis Pena ,L/W
Allen Crowder  vs. Jairzinho Rozenstruik ,L/W
Ariane Lipski  vs. Molly McCann ,L/W
Deron Winn  vs. Eric Spicely ,W/L
Henry Cejudo  vs. Marlon Moraes ,W/L
Valentina Shevchenko  vs. Jessica Eye ,W/L
Tony Ferguson  vs. Donald Cerrone ,W/L
Jimmie Rivera  vs. Petr Yan ,L/W
Tai Tuivasa  vs. Blagoy Ivanov ,L/W
Tatiana Suarez  vs. Nina Nunes ,W/L
Aljamain Sterling  vs. Pedro Munhoz ,W/L
Karolina Kowalkiewicz  vs. Alexa Grasso ,L/W
Ricardo Lamas  vs. Calvin Kattar ,L/W
Yan Xiaonan  vs. Angela Hill ,W/L
Bevon Lewis  vs. Darren Stewart ,L/W
Eddie Wineland  vs. Grigory Popov ,W/L
Katlyn Chookagian  vs. Joanne Wood ,W/L
Alexander Gustafsson  vs. Anthony Smith ,L/W
Jimi Manuwa  vs. Aleksandar Rakic ,L/W
Makwan Amirkhani  vs. Chris Fishgold ,W/L
Damir Hadzovic  vs. Christos Giagos ,L/W
Daniel Teymur  vs. Sung Bin Jo ,W/L
Rostem Akman  vs. Sergey Khandozhko ,L/W
